,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
0,1,1,2.0,0,3.0,1,9,8.0,2,1.0,3.0,2.0,3,0,3.0,4,3,5.0,4,2.0,1.0,4.0,3.0,2.0,3.0,3,3.0,2.0,1,1.0,7.0
1,2,2,6.0,0,3.0,1,3,1.0,9,3.0,4.0,2.0,1,4,2.0,3,2,5.0,5,3.0,2.0,2.0,2.0,1.0,3.0,4,3.0,4.0,2,2.0,7.0
2,3,2,4.0,0,3.0,1,4,7.0,3,3.0,2.0,2.0,2,2,3.0,3,3,4.0,3,3.0,3.0,3.0,3.0,4.0,3.0,3,3.0,2.0,2,3.0,6.0
3,4,2,5.0,0,3.0,1,5,2.0,14,2.0,1.0,1.0,1,3,2.0,3,3,3.0,4,2.0,2.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,8.0
4,5,1,2.0,0,3.0,3,3,1.0,8,1.0,4.0,2.0,1,1,3.0,3,3,3.0,4,3.0,3.0,3.0,3.0,3.0,2.0,2,3.0,3.0,1,1.0,10.0
5,6,1,2.0,0,2.0,2,8,1.0,12,1.0,4.0,2.0,3,1,3.0,2,2,2.0,3,3.0,2.0,2.0,2.0,3.0,3.0,3,3.0,2.0,1,1.0,7.0
6,7,2,4.0,0,3.0,1,9,3.0,5,2.0,2.0,1.0,2,4,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,2.0,3.0,3,3.0,3.0,2,2.0,6.0
7,8,2,4.0,0,3.0,1,3,1.0,13,2.0,4.0,2.0,2,0,2.0,5,2,3.0,5,3.0,4.0,2.0,5.0,5.0,2.0,4,5.0,2.0,2,2.0,5.0
8,9,1,4.0,0,3.0,1,2,1.0,13,2.0,4.0,2.0,1,3,4.0,5,3,1.0,5,1.0,5.0,3.0,3.0,3.0,5.0,5,5.0,3.0,3,1.0,6.0
9,10,2,2.0,0,3.0,1,5,1.0,9,2.0,1.0,1.0,3,1,3.0,3,3,4.0,1,3.0,3.0,3.0,4.0,4.0,3.0,3,1.0,2.0,2,1.0,10.0
10,11,2,4.0,0,3.0,1,2,1.0,9,2.0,1.0,1.0,1,3,2.0,3,3,2.0,3,3.0,2.0,3.0,2.0,1.0,3.0,3,4.0,4.0,2,3.0,10.0
11,12,2,4.0,0,3.0,1,2,1.0,14,2.0,4.0,2.0,1,4,5.0,5,5,5.0,5,3.0,5.0,5.0,3.0,3.0,3.0,3,5.0,3.0,3,1.0,1.0
12,13,1,2.0,0,2.0,1,8,1.0,8,1.0,1.0,2.0,2,0,3.0,3,3,3.0,4,4.0,4.0,3.0,4.0,5.0,2.0,3,5.0,3.0,1,3.0,5.0
13,14,2,3.0,0,2.0,1,8,1.0,9,2.0,1.0,1.0,3,1,2.0,2,2,2.0,3,3.0,3.0,2.0,3.0,2.0,2.0,3,3.0,2.0,2,2.0,7.0
14,15,2,3.0,0,3.0,2,9,1.0,4,1.0,4.0,2.0,4,0,2.0,3,2,1.0,2,2.0,2.0,2.0,1.0,1.0,1.0,1,2.0,1.0,2,2.0,10.0
15,16,1,2.0,0,2.0,1,9,4.0,14,1.0,4.0,2.0,1,0,1.0,2,1,1.0,1,2.0,2.0,1.0,1.0,2.0,1.0,2,1.0,2.0,1,2.0,9.0
16,17,2,2.0,0,1.0,1,9,4.0,8,1.0,4.0,2.0,3,0,2.0,2,2,2.0,3,3.0,2.0,2.0,2.0,3.0,3.0,2,2.0,2.0,2,1.0,7.0
17,18,2,2.0,0,2.0,1,8,5.0,8,2.0,2.0,2.0,3,1,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,3.0,2,3.0,6.0
18,19,1,2.0,0,2.0,1,8,1.0,8,1.0,4.0,2.0,2,1,4.0,5,3,5.0,4,3.0,3.0,2.0,2.0,2.0,2.0,3,3.0,5.0,2,1.0,6.0
19,20,1,2.0,0,2.0,2,4,1.0,3,1.0,4.0,2.0,3,3,2.0,3,1,3.0,3,3.0,2.0,1.0,1.0,2.0,1.0,1,1.0,2.0,2,2.0,8.0
20,21,2,2.0,0,2.0,1,9,1.0,7,1.0,1.0,2.0,3,0,3.0,3,3,3.0,3,4.0,2.0,2.0,2.0,5.0,1.0,2,3.0,2.0,2,3.0,8.0
21,22,2,2.0,0,2.0,1,9,1.0,8,1.0,1.0,1.0,4,0,2.0,2,2,2.0,2,2.0,2.0,2.0,1.0,4.0,1.0,2,2.0,3.0,1,2.0,8.0
23,24,2,2.0,0,2.0,4,9,1.0,5,1.0,4.0,2.0,1,1,2.0,2,2,2.0,2,3.0,2.0,2.0,2.0,3.0,1.0,3,3.0,4.0,2,1.0,9.0
24,25,1,4.0,0,1.0,1,8,1.0,3,2.0,2.0,2.0,2,0,3.0,3,3,2.0,3,3.0,3.0,2.0,3.0,4.0,2.0,2,2.0,3.0,2,3.0,6.0
25,26,1,4.0,0,3.0,1,3,1.0,10,4.0,1.0,1.0,3,3,2.0,2,2,3.0,4,3.0,2.0,3.0,4.0,4.0,3.0,2,4.0,4.0,2,2.0,7.0
26,27,1,2.0,0,1.0,1,9,5.0,12,1.0,1.0,2.0,2,2,1.0,2,2,3.0,1,2.0,2.0,2.0,1.0,2.0,1.0,3,2.0,2.0,2,1.0,8.0
27,28,1,3.0,0,2.0,1,3,1.0,9,1.0,1.0,2.0,1,1,3.0,3,3,3.0,1,3.0,3.0,3.0,3.0,3.0,1.0,2,1.0,3.0,1,1.0,9.0
28,29,2,2.0,0,3.0,1,6,1.0,5,1.0,2.0,1.0,4,2,2.0,2,2,3.0,3,3.0,2.0,3.0,3.0,3.0,2.0,3,3.0,2.0,1,2.0,5.0
29,30,1,2.0,1,1.0,2,8,1.0,2,2.0,1.0,1.0,2,0,1.0,2,2,3.0,2,1.0,1.0,1.0,2.0,4.0,1.0,1,2.0,1.0,1,1.0,8.0
30,31,2,4.0,0,3.0,1,5,1.0,15,2.0,1.0,2.0,2,2,1.0,1,2,2.0,4,2.0,2.0,2.0,2.0,4.0,2.0,2,2.0,2.0,2,2.0,10.0
31,32,1,4.0,0,3.0,1,3,1.0,14,2.0,4.0,2.0,1,2,1.0,3,3,2.0,5,2.0,2.0,2.0,2.0,2.0,2.0,3,4.0,3.0,3,3.0,7.0
32,33,2,2.0,0,1.0,1,9,5.0,9,2.0,2.0,1.0,5,1,1.0,2,2,3.0,3,2.0,2.0,2.0,1.0,3.0,2.0,2,3.0,2.0,2,1.0,8.0
33,34,2,2.0,0,1.0,1,8,1.0,8,1.0,4.0,2.0,1,2,2.0,3,3,2.0,2,3.0,3.0,2.0,2.0,2.0,2.0,2,3.0,2.0,2,2.0,7.0
34,35,1,2.0,0,3.0,1,3,1.0,8,1.0,4.0,2.0,1,0,3.0,3,3,4.0,3,3.0,3.0,2.0,2.0,2.0,3.0,3,3.0,4.0,1,3.0,6.0
35,36,2,5.0,0,3.0,1,1,1.0,11,2.0,1.0,2.0,2,2,3.0,5,4,3.0,2,3.0,4.0,2.0,1.0,3.0,3.0,3,5.0,3.0,3,3.0,10.0
36,37,2,2.0,0,2.0,2,8,7.0,8,1.0,4.0,2.0,1,1,3.0,3,3,3.0,4,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,9.0
37,38,2,2.0,0,3.0,1,4,2.0,8,2.0,2.0,1.0,1,2,4.0,4,2,3.0,1,1.0,4.0,2.0,2.0,5.0,1.0,2,5.0,2.0,1,1.0,5.0
38,39,1,5.0,0,3.0,1,8,3.0,15,2.0,1.0,2.0,2,3,3.0,3,3,3.0,4,3.0,3.0,3.0,3.0,3.0,3.0,3,4.0,4.0,3,3.0,6.0
39,40,1,3.0,0,1.0,1,3,1.0,10,2.0,1.0,2.0,2,2,4.0,5,4,4.0,2,1.0,2.0,2.0,2.0,4.0,2.0,2,5.0,3.0,2,3.0,6.0
40,41,1,4.0,0,3.0,1,5,1.0,12,2.0,4.0,1.0,2,1,3.0,3,3,3.0,5,4.0,5.0,3.0,2.0,2.0,1.0,4,5.0,4.0,4,2.0,6.0
41,42,1,2.0,0,1.0,1,9,1.0,3,1.0,1.0,2.0,3,0,2.0,2,2,2.0,4,4.0,3.0,3.0,2.0,1.0,2.0,3,4.0,3.0,2,2.0,7.0
42,43,2,4.0,0,3.0,1,5,4.0,8,1.0,2.0,2.0,2,2,3.0,3,3,3.0,5,3.0,3.0,4.0,2.0,3.0,2.0,3,5.0,3.0,3,2.0,5.0
43,44,1,2.0,0,2.0,1,9,1.0,15,1.0,4.0,2.0,3,0,3.0,3,3,4.0,2,2.0,3.0,4.0,1.0,3.0,2.0,3,2.0,2.0,1,2.0,7.0
44,45,2,4.0,0,2.0,6,6,5.0,10,2.0,1.0,2.0,2,2,3.0,3,3,3.0,2,3.0,4.0,3.0,2.0,2.0,3.0,4,4.0,3.0,2,3.0,6.0
45,46,2,3.0,0,3.0,1,2,1.0,12,2.0,4.0,2.0,2,3,3.0,5,3,2.0,2,2.0,3.0,2.0,2.0,5.0,2.0,2,4.0,2.0,4,2.0,5.0
46,47,1,4.0,0,3.0,1,3,1.0,12,2.0,1.0,2.0,2,2,3.0,2,3,4.0,4,4.0,2.0,3.0,2.0,3.0,4.0,3,4.0,3.0,3,2.0,6.0
48,49,1,1.0,0,3.0,1,3,1.0,15,1.0,1.0,1.0,4,0,5.0,3,2,1.0,3,3.0,2.0,1.0,3.0,4.0,1.0,2,3.0,1.0,1,1.0,10.0
49,50,1,4.0,0,1.0,2,10,1.0,5,4.0,4.0,1.0,4,1,2.0,2,2,5.0,5,3.0,2.0,5.0,3.0,2.0,4.0,3,5.0,5.0,4,3.0,6.0
50,51,1,2.0,0,2.0,2,8,1.0,10,1.0,1.0,1.0,1,2,2.0,3,3,3.0,3,1.0,2.0,3.0,4.0,1.0,2.0,2,3.0,2.0,2,1.0,9.0
51,52,2,2.0,0,3.0,1,9,2.0,4,2.0,1.0,1.0,3,0,2.0,3,2,3.0,3,2.0,3.0,3.0,3.0,4.0,2.0,3,4.0,3.0,2,2.0,7.0
53,54,2,2.0,0,2.0,1,8,1.0,15,2.0,1.0,2.0,1,2,2.0,2,2,1.0,3,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,1,1.0,8.0
54,55,1,2.0,0,2.0,1,9,7.0,15,1.0,1.0,2.0,4,0,2.0,3,3,2.0,4,5.0,2.0,5.0,1.0,2.0,4.0,4,4.0,3.0,2,3.0,7.0
56,57,1,2.0,0,1.0,1,9,1.0,6,1.0,1.0,1.0,3,2,2.0,3,3,2.0,2,2.0,2.0,3.0,1.0,4.0,3.0,2,1.0,2.0,2,1.0,6.0
57,58,1,2.0,0,1.0,1,9,1.0,6,2.0,1.0,1.0,4,1,2.0,3,3,4.0,5,3.0,2.0,2.0,3.0,2.0,3.0,3,3.0,3.0,3,1.0,9.0
58,59,1,3.0,0,1.0,1,9,1.0,4,1.0,4.0,2.0,2,1,3.0,3,3,3.0,3,2.0,2.0,2.0,2.0,2.0,2.0,4,3.0,2.0,3,2.0,6.0
59,60,2,4.0,0,3.0,1,3,1.0,9,2.0,4.0,2.0,2,7,3.0,3,3,3.0,5,3.0,3.0,3.0,4.0,3.0,2.0,3,5.0,3.0,3,1.0,9.0
60,61,1,2.0,0,2.0,1,9,1.0,8,1.0,1.0,2.0,3,0,2.0,3,3,3.0,3,5.0,2.0,2.0,1.0,5.0,2.0,3,2.0,3.0,3,1.0,7.0
61,62,1,5.0,0,1.0,1,6,1.0,9,2.0,4.0,2.0,1,4,3.0,3,3,4.0,4,2.0,2.0,3.0,2.0,2.0,3.0,3,3.0,3.0,4,1.0,9.0
62,63,1,2.0,0,2.0,1,9,1.0,9,1.0,4.0,2.0,1,0,2.0,4,1,3.0,3,2.0,2.0,2.0,1.0,2.0,2.0,2,2.0,2.0,2,1.0,7.0
64,65,1,5.0,0,3.0,1,3,1.0,12,2.0,4.0,2.0,1,3,2.0,2,1,2.0,5,1.0,3.0,3.0,1.0,2.0,1.0,4,4.0,3.0,1,1.0,7.0
65,66,2,2.0,0,2.0,1,8,1.0,15,1.0,4.0,2.0,1,1,3.0,5,2,4.0,1,3.0,4.0,4.0,1.0,1.0,2.0,3,2.0,3.0,2,1.0,6.0
66,67,1,4.0,0,3.0,4,9,1.0,15,1.0,4.0,2.0,1,3,1.0,1,3,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1,1.0,10.0
67,68,2,2.0,1,3.0,1,5,1.0,6,2.0,1.0,1.0,1,4,2.0,3,3,3.0,3,2.0,3.0,3.0,2.0,1.0,1.0,2,3.0,3.0,2,3.0,6.0
68,69,1,5.0,0,1.0,2,1,1.0,10,1.0,4.0,2.0,2,4,4.0,3,4,2.0,4,3.0,3.0,3.0,2.0,2.0,3.0,3,2.0,3.0,2,2.0,5.0
70,71,2,1.0,0,2.0,1,8,2.0,4,1.0,4.0,2.0,1,0,2.0,2,2,3.0,3,3.0,3.0,1.0,2.0,1.0,2.0,2,3.0,3.0,2,2.0,7.0
71,72,2,3.0,0,3.0,1,8,1.0,9,2.0,1.0,1.0,1,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,5,5.0,3.0,3,3.0,5.0
72,73,2,2.0,0,3.0,1,8,1.0,8,1.0,2.0,2.0,3,2,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
73,74,1,2.0,0,1.0,1,8,10.0,8,1.0,1.0,2.0,1,1,3.0,3,3,2.0,3,3.0,3.0,3.0,2.0,3.0,3.0,3,3.0,3.0,3,2.0,8.0
74,75,1,2.0,0,3.0,2,8,10.0,3,1.0,2.0,1.0,4,1,3.0,3,3,3.0,3,2.0,2.0,3.0,2.0,3.0,3.0,3,2.0,2.0,2,1.0,6.0
75,76,2,1.0,0,3.0,1,5,1.0,8,1.0,4.0,2.0,1,1,2.0,2,2,2.0,2,2.0,2.0,2.0,3.0,2.0,2.0,2,2.0,2.0,2,3.0,5.0
76,77,2,2.0,0,2.0,1,8,3.0,3,1.0,4.0,2.0,1,1,2.0,2,1,2.0,3,2.0,1.0,2.0,2.0,1.0,2.0,3,2.0,3.0,1,1.0,10.0
77,78,2,3.0,0,2.0,1,9,9.0,14,2.0,4.0,2.0,3,0,2.0,2,4,4.0,2,3.0,2.0,2.0,3.0,3.0,4.0,4,4.0,4.0,4,3.0,5.0
78,79,1,5.0,0,3.0,1,3,10.0,13,2.0,4.0,2.0,1,1,4.0,4,4,3.0,3,2.0,2.0,4.0,3.0,1.0,4.0,4,4.0,4.0,3,1.0,6.0
79,80,2,5.0,0,1.0,1,3,9.0,2,2.0,1.0,1.0,1,4,3.0,3,3,1.0,5,3.0,3.0,1.0,1.0,4.0,2.0,2,1.0,3.0,3,5.0,7.0
80,81,2,2.0,0,2.0,1,9,2.0,3,1.0,1.0,2.0,2,0,4.0,5,3,4.0,3,3.0,4.0,3.0,4.0,2.0,1.0,1,3.0,4.0,3,2.0,5.0
82,83,2,2.0,0,2.0,1,4,2.0,14,2.0,4.0,1.0,1,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,1,1.0,5.0
83,84,2,5.0,0,3.0,1,4,2.0,3,3.0,1.0,2.0,1,3,2.0,3,3,2.0,5,5.0,4.0,2.0,2.0,2.0,2.0,2,5.0,4.0,2,2.0,3.0
84,85,1,4.0,0,3.0,1,5,2.0,6,2.0,1.0,2.0,2,3,3.0,3,2,4.0,1,1.0,3.0,3.0,3.0,3.0,2.0,2,4.0,4.0,2,2.0,5.0
85,86,1,2.0,0,2.0,2,6,2.0,9,2.0,1.0,2.0,1,1,3.0,4,3,4.0,4,4.0,2.0,1.0,1.0,3.0,1.0,1,3.0,3.0,3,1.0,9.0
86,87,2,2.0,0,2.0,1,9,10.0,14,1.0,4.0,2.0,1,1,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,4.0,2.0,2,2.0,3.0,3,1.0,6.0
87,88,2,3.0,0,3.0,1,8,2.0,12,2.0,1.0,1.0,1,0,2.0,3,3,3.0,4,4.0,2.0,3.0,3.0,5.0,3.0,3,3.0,5.0,3,2.0,6.0
88,89,1,5.0,0,3.0,1,3,2.0,4,2.0,1.0,2.0,1,7,2.0,3,2,2.0,3,1.0,2.0,1.0,1.0,4.0,1.0,3,3.0,2.0,3,2.0,8.0
89,90,1,3.0,0,3.0,1,3,3.0,3,2.0,4.0,2.0,1,1,3.0,3,3,3.0,1,3.0,3.0,3.0,2.0,2.0,2.0,2,3.0,2.0,2,2.0,6.0
90,91,2,3.0,0,3.0,1,3,2.0,8,2.0,1.0,2.0,2,3,2.0,3,2,3.0,3,2.0,2.0,2.0,1.0,1.0,2.0,2,3.0,2.0,3,2.0,7.0
91,92,1,1.0,0,2.0,1,9,9.0,15,1.0,4.0,2.0,3,1,2.0,3,3,2.0,3,3.0,2.0,2.0,2.0,2.0,3.0,3,3.0,3.0,2,2.0,7.0
92,93,2,5.0,0,3.0,2,2,2.0,14,2.0,1.0,2.0,3,6,2.0,2,2,2.0,3,3.0,2.0,3.0,1.0,1.0,3.0,2,2.0,3.0,3,2.0,7.0
93,94,1,2.0,0,3.0,1,3,2.0,8,1.0,4.0,2.0,2,3,3.0,3,2,2.0,3,3.0,3.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,7.0
94,95,1,3.0,0,3.0,1,3,2.0,9,2.0,1.0,2.0,3,2,2.0,2,2,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,3.0,2,2.0,8.0
95,96,2,3.0,0,3.0,1,3,2.0,14,2.0,1.0,2.0,3,1,2.0,2,3,2.0,2,1.0,1.0,2.0,1.0,2.0,2.0,3,3.0,2.0,2,3.0,8.0
96,97,1,4.0,0,3.0,2,2,2.0,14,2.0,1.0,2.0,3,2,2.0,2,3,3.0,3,3.0,2.0,2.0,1.0,1.0,1.0,2,3.0,2.0,3,2.0,7.0
97,98,1,5.0,0,3.0,2,1,2.0,14,2.0,1.0,2.0,2,3,2.0,2,3,2.0,3,2.0,1.0,2.0,1.0,2.0,2.0,2,3.0,2.0,3,2.0,9.0
98,99,2,2.0,0,3.0,1,4,2.0,4,1.0,4.0,2.0,2,1,2.0,2,2,3.0,2,1.0,2.0,2.0,1.0,1.0,1.0,2,3.0,2.0,1,1.0,9.0
99,100,1,3.0,0,3.0,1,9,2.0,5,2.0,1.0,1.0,4,1,3.0,3,2,3.0,4,3.0,3.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,7.0
100,101,1,3.0,1,3.0,5,4,2.0,12,2.0,1.0,1.0,2,3,2.0,3,3,3.0,3,4.0,2.0,2.0,3.0,3.0,2.0,3,5.0,2.0,1,3.0,4.0
101,102,2,2.0,0,2.0,1,7,2.0,12,1.0,4.0,1.0,2,2,3.0,4,3,3.0,3,3.0,3.0,2.0,2.0,2.0,2.0,3,3.0,2.0,3,1.0,0.0
102,103,2,1.0,0,2.0,1,9,2.0,4,1.0,4.0,2.0,2,0,3.0,3,2,3.0,3,1.0,3.0,3.0,2.0,3.0,2.0,2,2.0,3.0,3,2.0,7.0
103,104,2,2.0,0,3.0,1,9,2.0,9,1.0,4.0,2.0,2,1,2.0,3,2,3.0,4,2.0,3.0,3.0,2.0,3.0,3.0,4,5.0,4.0,4,3.0,7.0
104,105,1,3.0,0,1.0,1,10,2.0,3,2.0,1.0,1.0,3,1,2.0,2,1,1.0,2,2.0,3.0,2.0,2.0,2.0,4.0,1,1.0,2.0,2,1.0,8.0
105,106,2,2.0,0,2.0,1,8,7.0,8,1.0,1.0,2.0,2,1,2.0,3,2,2.0,2,2.0,2.0,2.0,2.0,2.0,1.0,2,3.0,3.0,1,2.0,9.0
106,107,2,2.0,0,3.0,1,8,2.0,8,1.0,4.0,2.0,2,0,3.0,3,3,3.0,4,2.0,2.0,2.0,2.0,2.0,1.0,2,3.0,2.0,1,2.0,9.0
107,108,1,4.0,0,3.0,1,5,2.0,12,2.0,1.0,1.0,1,2,2.0,3,3,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,8.0
108,109,1,4.0,0,1.0,1,9,2.0,5,2.0,2.0,1.0,4,2,2.0,2,2,3.0,3,2.0,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,2,1.0,8.0
109,110,1,2.0,0,2.0,1,8,1.0,12,1.0,1.0,1.0,1,2,2.0,2,2,3.0,3,2.0,2.0,3.0,3.0,3.0,2.0,3,2.0,2.0,2,2.0,8.0
110,111,1,3.0,0,3.0,2,5,2.0,14,2.0,4.0,2.0,1,0,5.0,5,5,3.0,5,3.0,3.0,5.0,2.0,3.0,3.0,3,3.0,3.0,2,1.0,3.0
111,112,2,3.0,0,3.0,1,3,10.0,7,2.0,4.0,1.0,2,0,3.0,3,2,3.0,2,2.0,3.0,2.0,2.0,5.0,2.0,3,3.0,4.0,2,3.0,8.0
112,113,2,3.0,0,3.0,1,3,2.0,8,2.0,1.0,2.0,3,2,2.0,3,3,3.0,3,4.0,3.0,3.0,3.0,3.0,3.0,3,4.0,3.0,2,2.0,8.0
113,114,1,2.0,0,3.0,1,6,2.0,12,2.0,1.0,2.0,1,1,3.0,3,3,3.0,3,3.0,4.0,4.0,3.0,3.0,3.0,3,3.0,3.0,3,2.0,6.0
114,115,1,2.0,0,2.0,1,4,2.0,10,2.0,4.0,2.0,1,2,4.0,5,4,3.0,4,3.0,4.0,3.0,3.0,2.0,4.0,3,4.0,3.0,3,3.0,6.0
115,116,1,5.0,0,3.0,1,1,2.0,13,2.0,4.0,2.0,1,3,3.0,4,4,4.0,5,3.0,4.0,2.0,2.0,4.0,2.0,4,5.0,4.0,3,3.0,3.0
116,117,1,2.0,0,3.0,1,6,5.0,12,1.0,4.0,1.0,2,0,2.0,2,2,3.0,3,3.0,2.0,3.0,2.0,2.0,1.0,2,3.0,2.0,2,3.0,8.0
117,118,1,2.0,0,3.0,2,5,2.0,8,1.0,4.0,2.0,3,0,2.0,4,4,4.0,3,3.0,3.0,3.0,3.0,3.0,2.0,4,4.0,3.0,2,2.0,8.0
118,119,2,2.0,0,3.0,1,9,3.0,3,3.0,1.0,2.0,3,0,4.0,4,3,4.0,3,3.0,3.0,2.0,2.0,3.0,3.0,3,3.0,3.0,2,3.0,6.0
119,120,2,5.0,0,3.0,1,8,7.0,14,4.0,1.0,2.0,2,3,2.0,3,3,3.0,4,3.0,3.0,3.0,3.0,3.0,3.0,4,5.0,5.0,3,3.0,7.0
120,121,1,3.0,0,1.0,1,9,2.0,2,2.0,1.0,2.0,3,2,2.0,2,3,2.0,4,3.0,2.0,2.0,1.0,3.0,2.0,3,3.0,2.0,2,2.0,8.0
121,122,2,6.0,0,3.0,1,3,2.0,14,2.0,4.0,2.0,1,5,3.0,3,3,2.0,4,1.0,1.0,2.0,1.0,1.0,1.0,1,3.0,1.0,2,1.0,8.0
122,123,2,2.0,0,2.0,1,5,2.0,8,1.0,1.0,1.0,2,2,3.0,3,3,4.0,5,2.0,3.0,2.0,4.0,5.0,2.0,3,5.0,4.0,2,2.0,6.0
123,124,2,3.0,0,3.0,1,5,2.0,9,2.0,1.0,1.0,3,1,2.0,2,1,2.0,5,2.0,2.0,1.0,2.0,2.0,1.0,5,2.0,2.0,1,1.0,9.0
124,125,1,6.0,0,3.0,1,2,2.0,14,2.0,1.0,2.0,1,3,2.0,1,2,2.0,4,1.0,2.0,1.0,2.0,2.0,1.0,4,2.0,2.0,1,1.0,9.0
125,126,2,4.0,0,3.0,1,2,2.0,13,2.0,1.0,2.0,1,1,3.0,3,3,5.0,3,2.0,3.0,2.0,3.0,4.0,3.0,3,4.0,3.0,1,2.0,5.0
126,127,2,6.0,0,3.0,1,1,2.0,14,3.0,1.0,2.0,1,4,2.0,1,1,1.0,2,1.0,1.0,1.0,1.0,2.0,2.0,1,2.0,2.0,3,1.0,9.0
127,128,1,2.0,0,2.0,1,4,2.0,10,1.0,4.0,2.0,2,0,2.0,3,2,3.0,2,2.0,2.0,2.0,2.0,3.0,3.0,2,2.0,3.0,1,1.0,7.0
128,129,1,3.0,0,3.0,1,3,2.0,8,2.0,1.0,1.0,2,1,2.0,3,3,3.0,5,2.0,3.0,2.0,3.0,3.0,3.0,4,4.0,4.0,1,1.0,7.0
129,130,1,5.0,0,3.0,1,2,2.0,14,2.0,1.0,2.0,1,3,2.0,2,3,2.0,3,2.0,1.0,1.0,2.0,3.0,1.0,3,3.0,2.0,2,1.0,7.0
130,131,2,4.0,0,3.0,1,3,2.0,8,2.0,1.0,1.0,2,1,3.0,3,2,3.0,5,3.0,2.0,2.0,5.0,4.0,3.0,5,4.0,4.0,1,1.0,7.0
131,132,1,6.0,0,3.0,1,2,1.0,14,2.0,1.0,2.0,1,2,1.0,1,1,3.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,2.0,2,1.0,9.0
132,133,2,3.0,0,3.0,1,3,2.0,9,2.0,1.0,2.0,1,0,3.0,3,3,3.0,3,2.0,3.0,3.0,3.0,3.0,4.0,3,3.0,3.0,3,2.0,6.0
133,134,1,6.0,0,1.0,1,6,2.0,9,2.0,1.0,2.0,1,4,1.0,2,1,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,9.0
